A,B,C,D,E,F
25,91.98,25,446.06,-25.3096,-69.5372
31,116.32,25,446.42,18.4356,4.59651
13,44.33,28,497.36,-12.9788,-39.9444
0,-7.75,20,361.28,-52.616,-12.1473
1,-3.69,24,428.99,41.145,56.6312
6,16.32,22,395.41,-79.7847,-22.8779
19,67.97,16,293.13,-54.5596,-31.5
28,104.27,23,412.53,80.1906,40.8591
33,123.99,2,55.11,70.8316,17.6603
32,120.32,23,412.45,-68.6786,-59.7013
9,28.04,13,242.28,4.64881,9.96938
32,120.27,30,531.18,56.9896,15.2703
8,24.24,30,531.49,-22.2717,-52.4688
26,96.25,27,480.45,50.7874,35.5617
29,108.43,7,140.3,34.7167,30.1787
31,116.32,24,429.41,38.1478,8.10855
27,100,10,191.26,-10.5209,-21.571
29,108.02,28,497.49,-28.8784,-64.8617
24,88.44,11,208.48,73.8289,59.7854
4,8.14,32,565,1.17557,1.61803
20,72.3,6,123.53,11.4337,35.1891
35,132.21,13,242.42,-38.1357,-25.7229
6,16.2,6,123.31,-39.9052,-75.0505
17,60.29,26,463.46,84.6456,43.1291
35,132.48,31,548.24,5.61911,13.9078
38,144.44,26,463.54,-41.7812,-49.7929
14,48.07,0,21.36,7.85302,1.52647
29,108.11,1,38.44,39.7821,9.91879
7,20.35,33,582.5,31.9469,22.3695
7,20.31,12,225.55,-20.3952,-62.7697
11,36.41,6,123.06,36.8506,17.9732
25,92.25,31,548.34,22.384,15.0982
23,84.45,6,123.13,-89.9896,-19.1279
25,92.52,17,310.55,-18.5437,-7.49213
39,148.25,3,72,-6.57261,-12.3613
2,0.07,14,259.25,10.199,4.12067
9,28.53,15,276.49,49.8037,18.1271
4,8.45,35,615.99,-34.4683,-6.07768
29,108.19,10,191.23,0.669131,0.743144
35,132.49,11,208.16,-19.7267,-40.4457
28,104.14,11,207.99,-71.3292,-23.1763
30,112.43,19,344.54,60.6218,35
4,8.51,5,105.97,67.7412,5.92659
35,132.14,33,582.15,-15.1037,-18.6515
33,124,18,327.01,41.0001,71.0141
5,12,2,55.54,-16.5448,-15.9771
20,72.36,37,650.08,36.1494,67.9869
36,136.3,14,259.51,39.7587,61.2229
24,88.38,20,361.46,6.61997,8.78499
15,52.41,31,548.22,19.3924,34.9848
10,32.02,1,38.41,-82.1897,-53.3746
23,84.31,10,191.17,-13.5841,-3.3869
20,72.51,32,565.11,28.8871,38.3345
16,56.22,31,548.45,58.8064,29.9634
28,104.19,38,667.37,-12.6381,-16.7713
18,63.99,3,72.48,-39.4931,-36.8279
1,-3.81,4,89.28,9.29762,19.9388
30,111.99,37,650.12,-50.8637,-10.8114
13,44.02,22,395.01,-86.5234,-9.09397
18,63.99,3,72.33,-66.8346,-54.1215
26,96.41,36,633.06,44.1656,16.0749
19,68.45,17,310.01,51.4458,76.2714
26,96.11,26,463.32,8.50967,2.93011
33,124.11,11,208.44,15.2649,9.53854
28,104.05,11,208.4,-35.6799,-67.104
10,32.27,1,38.55,-28.7381,-61.6289
33,124.4,8,156.99,-40.844,-3.57338
6,16.55,7,140.29,-6.87139,-1.33566
18,64.55,23,412.07,-12.3023,-18.2388
7,20.35,22,395.15,8.81049,10.88
35,132.01,9,174.45,-22.9566,-12.2063
8,24.37,28,497.25,68.771,44.6604
1,-3.75,6,123.25,-19.5234,-43.8502
36,136.08,10,191.36,-6.97336,-0.61009
33,124.49,18,327.32,-77.0397,-12.2019
13,44.14,0,21.11,84.0045,48.5
7,20.34,15,276.53,46.7571,45.1528
36,136.15,18,327.19,-93.2993,-11.4557
5,12.32,13,242.32,-5.52303,-2.34439
7,20.44,30,531.15,32.5144,9.94063
22,80.25,21,378,43.8406,43.8406
10,32.19,7,140.02,57.8509,68.944
14,48.43,3,72.21,63.8909,48.1452
7,20.22,37,650.49,-24.2674,-11.836
23,84.49,11,208.3,-23.4736,-44.1474
18,64.5,5,106.16,-11.9543,-1.04587
10,32.55,34,599.26,14.8153,2.34652
14,48.18,2,55.27,-28.644,-30.7168
12,40.34,39,684.46,0.777146,0.62932
12,40.01,17,310.32,48.0216,61.4648
33,124.53,12,225.47,-28.5234,-67.1968
22,80.14,30,531.53,8.34349,25.6785
32,120.3,19,344.11,-71.3932,-28.8447
8,24.52,6,123.17,17.305,53.2591
24,88.18,32,565.1,34.427,10.5254
13,44.18,38,667.02,22,38.1051
38,144.43,15,275.97,-80.3691,-27.6733
38,144.44,19,344.46,-9.53856,-15.2649
38,144.07,30,531.41,-88.0333,-18.712
31,116.44,28,497,39.2651,7.63235
25,92.1,30,531.12,-4.36329,-7.87157
33,124.38,12,225.37,-58.7085,-52.8613
14,48.56,27,480.1,33.1615,22.3677
28,104.35,31,548.56,80.9904,12.8276
